Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;MOVIMENTO 5 STELLE;CHIARA APPENDINO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;MOVIMENTO 5 STELLE;ANTONINO IARIA
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;MOVIMENTO 5 STELLE;CARLOTTA TEVERE
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;MOVIMENTO 5 STELLE;GIOVANNI CAPONETTO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;MOVIMENTO 5 STELLE;CHIARA APPENDINO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;MOVIMENTO 5 STELLE;LUCA CARABETTA
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;MOVIMENTO 5 STELLE;ANTONELLA PEPE
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;MOVIMENTO 5 STELLE;MATTEO LOCATELLI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;MOVIMENTO 5 STELLE;CHIARA APPENDINO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;MOVIMENTO 5 STELLE;MARIO IACOPINO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;MOVIMENTO 5 STELLE;PAOLA COLA
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;MOVIMENTO 5 STELLE;FABIO FREZZINI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;MOVIMENTO 5 STELLE;CHIARA APPENDINO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;MOVIMENTO 5 STELLE;MASSIMO CERRUTI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;MOVIMENTO 5 STELLE;ANTONELLA SCAGNETTI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;MOVIMENTO 5 STELLE;GIUSEPPE CASTAGNA
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;MOVIMENTO 5 STELLE;GIUSEPPE CONTE
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;MOVIMENTO 5 STELLE;STEFANIA MAMMI'
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;MOVIMENTO 5 STELLE;RICCARDO OLGIATI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;MOVIMENTO 5 STELLE;SIMONA BERTOGLIATTI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;MOVIMENTO 5 STELLE;GIUSEPPE CONTE
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;MOVIMENTO 5 STELLE;SARA MONTRASIO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;MOVIMENTO 5 STELLE;DAVIDE BUFFAGNI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;MOVIMENTO 5 STELLE;DANIELA GOBBO
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;MOVIMENTO 5 STELLE;ALESSANDRA TODDE
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;MOVIMENTO 5 STELLE;ANTONIO FERRARA
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;MOVIMENTO 5 STELLE;VERONICA IANNONE
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;MOVIMENTO 5 STELLE;VITTORIO SALVO
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;MOVIMENTO 5 STELLE;GIOVANNI CURRO'
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;MOVIMENTO 5 STELLE;CARMELA COLOMO
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;MOVIMENTO 5 STELLE;GIOVANNI GALIMBERTI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;MOVIMENTO 5 STELLE;ELENA CALOGERO
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;MOVIMENTO 5 STELLE;MONICA FERRARIS
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;MOVIMENTO 5 STELLE;LUCA SANGALLI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;MOVIMENTO 5 STELLE;SONIA LISOTTI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;MOVIMENTO 5 STELLE;NICOLA CARIOLI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P02;MOVIMENTO 5 STELLE;SAMUEL SORIAL
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P02;MOVIMENTO 5 STELLE;TERESA TAMBORINO
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P02;MOVIMENTO 5 STELLE;AMEDEO PACCAGNELLA
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P02;MOVIMENTO 5 STELLE;CONCETTA TORRISI
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;MOVIMENTO 5 STELLE;VALENTINA BARZOTTI
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;MOVIMENTO 5 STELLE;MANUEL DRAGHETTI
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;MOVIMENTO 5 STELLE;PAOLA TACCHINI
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;MOVIMENTO 5 STELLE;GIOVANNI CAPPELLAZZI
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;MOVIMENTO 5 STELLE;CRISTINA MANES
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;MOVIMENTO 5 STELLE;MAURIZIO MESTRINER
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;MOVIMENTO 5 STELLE;ELENA QUARANTA
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;MOVIMENTO 5 STELLE;ALESSANDRO FERRO
